recipe,ingredients,image_url,dietary,instructions
apple_pie,apple sugar flour butter cinnamon,/dataset/food-101/images/apple_pie/1005649.jpg,gluten-free,"Gather all ingredients: apple sugar flour butter cinnamon. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
baby_back_ribs,pork ribs barbecue_sauce,/dataset/food-101/images/baby_back_ribs/1005293.jpg,non-veg,"Gather all ingredients: pork ribs barbecue_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
baklava,phyllo_dough nuts honey butter,/dataset/food-101/images/baklava/1006121.jpg,vegetarian,"Gather all ingredients: phyllo_dough nuts honey butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beef_carpaccio,beef olive_oil arugula parmesan,/dataset/food-101/images/beef_carpaccio/1011469.jpg,non-veg,"Gather all ingredients: beef olive_oil arugula parmesan. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beef_tartare,beef egg_yolk capers onion,/dataset/food-101/images/beef_tartare/1000431.jpg,non-veg,"Gather all ingredients: beef egg_yolk capers onion. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beet_salad,beet goat_cheese arugula walnuts,/dataset/food-101/images/beet_salad/1003501.jpg,vegetarian,"Gather all ingredients: beet goat_cheese arugula walnuts. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beignets,dough powdered_sugar,/dataset/food-101/images/beignets/1000911.jpg,vegetarian,"Gather all ingredients: dough powdered_sugar. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bibimbap,rice beef egg vegetables gochujang,/dataset/food-101/images/bibimbap/1002297.jpg,non-veg,"Gather all ingredients: rice beef egg vegetables gochujang. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bread_pudding,bread milk eggs sugar cinnamon,/dataset/food-101/images/bread_pudding/1004499.jpg,non-veg,"Gather all ingredients: bread milk eggs sugar cinnamon. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
breakfast_burrito,tortilla eggs cheese sausage potato,/dataset/food-101/images/breakfast_burrito/1000351.jpg,non-veg,"Gather all ingredients: tortilla eggs cheese sausage potato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bruschetta,bread tomato basil garlic olive_oil,/dataset/food-101/images/bruschetta/1003796.jpg,vegetarian,"Gather all ingredients: bread tomato basil garlic olive_oil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
caesar_salad,lettuce croutons parmesan chicken caesar_dressing,/dataset/food-101/images/caesar_salad/1000016.jpg,non-veg,"Gather all ingredients: lettuce croutons parmesan chicken caesar_dressing. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
cannoli,ricotta chocolate_chips pastry_shell,/dataset/food-101/images/cannoli/1007970.jpg,vegetarian,"Gather all ingredients: ricotta chocolate_chips pastry_shell. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
caprese_salad,tomato mozzarella basil olive_oil,/dataset/food-101/images/caprese_salad/1001946.jpg,vegetarian,"Gather all ingredients: tomato mozzarella basil olive_oil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
